,,,,,,,,,,,,,,,,
Date Left,time Left,Date Arrived,Time Arrived,Tugboat Name,client,Vessel Name,Port Name,Terminal Name,Activity / Service Description,for,Remarks,Voyage #,,,,
11/06/2024,20:40,11/06/2024,22:10,HOKUTO,,LPG/C HONG TAI,CEBU,CEBU_PHOENIX NAGA,DOCKING,,,2438,,,,
11/07/2024,00:40,11/07/2024,01:45,CEBU STRAIT,,MT LUCKY MAY,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,2404,,,,
11/07/2024,00:45,11/07/2024,01:50,PANAY GULF,,MT LUCKY MAY,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,M/t lucky may undock properly and tug Panay gulf and crew safe and secured ,2404,,,,
11/07/2024,00:50,11/07/2024,01:50,BOHOL SEA,,MT LUCKY MAY,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,2404,,,,
11/07/2024,05:35,11/07/2024,07:00,HOKUTO,,MT BULUSAN,CEBU,CEBU_SPEC PITALO,DOCKING,,,216,,,,
11/07/2024,05:35,11/07/2024,06:55,TABANGAO,,MT BULUSAN,CEBU,CEBU_SPEC PITALO,DOCKING,,,216,,,,
11/07/2024,05:50,11/07/2024,06:55,BOHOL SEA,,MT AVA,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,333,,,,
11/07/2024,05:55,11/07/2024,06:55,PANAY GULF,,MT AVA,DAVAO,DAVAO_INSULAR OIL,DOCKING,,Docking of m/t ava is safe,333,,,,
11/07/2024,06:30,11/09/2024,10:00,CEBU MOORING BOAT,,MT BULUSAN,CEBU,CEBU_SPEC PITALO,MOORING,,,216,,,,
11/07/2024,06:30,11/09/2024,16:00,PITALO MOORING BOAT,,MT BULUSAN,CEBU,CEBU_SPEC PITALO,UNMOORING,,,216,,,,
11/07/2024,06:50,11/07/2024,17:10,PANAY GULF,,MT AVA,DAVAO,DAVAO_INSULAR OIL,TENDING,,,333,,,,
11/07/2024,06:55,11/09/2024,09:55,TABANGAO,,MT BULUSAN,CEBU,CEBU_SPEC PITALO,TENDING,,,216,,,,
11/07/2024,08:14,11/07/2024,08:58,TUG 20,,MT PANGLAO ISLAND,JIMENEZ,JIMENEZ_SRDC JIMENEZ,DOCKING,,,880,,,,
11/07/2024,08:20,11/07/2024,10:35,BOHOL SEA,,MV THAI BINH 68,DAVAO,DAVAO_KUDOS,DOCKING,,,,,,,
11/07/2024,08:20,11/07/2024,10:40,CEBU STRAIT,,MV THAI BINH 68,DAVAO,DAVAO_KUDOS,DOCKING,,,,,,,
11/07/2024,12:30,11/07/2024,13:10,HOKUTO,,LPG/C HONG TAI,CEBU,CEBU_PHOENIX NAGA,UNDOCKING,,,2438,,,,
11/07/2024,12:30,11/07/2024,13:10,TABANGAO,,LPG/C HONG TAI,CEBU,CEBU_PHOENIX NAGA,UNDOCKING,,,2438,,,,
11/07/2024,17:00,11/07/2024,17:35,PANAY GULF,,MT AVA,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,333,,,,
11/07/2024,17:05,11/07/2024,17:45,CEBU STRAIT,,MT AVA,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,333,,,,
11/07/2024,21:40,11/07/2024,23:15,BOHOL SEA,,MV TUAN DUNG 36,DAVAO,DAVAO_KUDOS,UNDOCKING,,,,,,,
11/07/2024,21:40,11/07/2024,23:20,PANAY GULF,,MV TUAN DUNG 36,DAVAO,DAVAO_KUDOS,UNDOCKING,,,,,,,
11/08/2024,05:15,11/08/2024,08:30,BOHOL SEA,,MT GRAND ACE 6,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,30,,,,
11/08/2024,05:15,11/08/2024,08:25,CEBU STRAIT,,MT GRAND ACE 6,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,30,,,,
11/08/2024,05:35,11/08/2024,08:10,PANAY GULF,,MT GRAND ACE 6,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,30,,,,
11/08/2024,08:05,11/09/2024,06:40,PANAY GULF,,MT GRAND ACE 6,DAVAO,DAVAO_INSULAR OIL,TENDING,,,30,,,,
11/08/2024,08:10,11/09/2024,06:30,CEBU STRAIT,,MT GRAND ACE 6,DAVAO,DAVAO_INSULAR OIL,TENDING,,,30,,,,
11/08/2024,08:25,11/08/2024,11:50,PANAY GULF,,MT THERESA TIGA,DAVAO,DAVAO_NEW DAVAO OIL MILL,DOCKING,,,,,,,
11/08/2024,08:30,11/08/2024,11:45,BOHOL SEA,,MT THERESA TIGA,DAVAO,DAVAO_NEW DAVAO OIL MILL,DOCKING,,,,,,,
11/08/2024,08:30,11/08/2024,11:15,CEBU STRAIT,,MT THERESA TIGA,DAVAO,DAVAO_NEW DAVAO OIL MILL,DOCKING,,,,,,,
11/08/2024,11:40,11/08/2024,14:30,ILONGO,,MT PYXIS KARTERIA,SUBIC,SUBIC_PPC TERMINAL,DOCKING,,,47,,,,
11/08/2024,11:45,11/08/2024,12:55,BOHOL SEA,,MT AVA,DAVAO,DAVAO_SRDC SASA,DOCKING,,,333,,,,
11/08/2024,11:50,11/08/2024,12:50,PANAY GULF,,MT AVA,DAVAO,DAVAO_SRDC SASA,DOCKING,,,333,,,,
11/08/2024,11:55,11/08/2024,14:25,SEHANA,,MT PYXIS KARTERIA,SUBIC,SUBIC_PPC TERMINAL,DOCKING,,,47,,,,
11/08/2024,13:00,11/08/2024,15:40,SUN JIN NO.505,,MT MARINGAL,BATANGAS,BATANGAS_SRDC BATANGAS,DOCKING,,,290,,,,
11/08/2024,20:00,11/08/2024,21:30,NHTC 5,,MT PANGLAO ISLAND,CEBU,CEBU_SRDC LAPU LAPU,DOCKING,,,880,,,,
11/08/2024,20:10,11/08/2024,21:20,PACIFIC ROSE 14,,MT PANGLAO ISLAND,CEBU,CEBU_SRDC LAPU LAPU,DOCKING,,,880,,,,
11/08/2024,20:15,11/08/2024,22:15,BOHOL SEA,,MV DONG AN,DAVAO,DAVAO_KUDOS,DOCKING,,,,,,,
11/08/2024,20:20,11/08/2024,22:20,PANAY GULF,,MV DONG AN,DAVAO,DAVAO_KUDOS,DOCKING,,,,,,,
11/08/2024,20:44,11/08/2024,21:25,CEBU MOORING BOAT,,MT PANGLAO ISLAND,CEBU,CEBU_SRDC LAPU LAPU,MOORING,,,880,,,,
11/09/2024,03:25,11/09/2024,04:20,CHOKWANG,,MT MARINGAL,BATANGAS,BATANGAS_SRDC BATANGAS,UNDOCKING,,CM Jogarap on duty,290,,,,
11/09/2024,04:40,11/09/2024,05:30,PANAY GULF,,MT AVA,DAVAO,DAVAO_SRDC SASA,UNDOCKING,,,333,,,,
11/09/2024,04:55,11/09/2024,05:25,CEBU STRAIT,,MT AVA,DAVAO,DAVAO_SRDC SASA,UNDOCKING,,,333,,,,
11/09/2024,05:40,11/09/2024,07:40,CEBU STRAIT,,MT GRAND ACE 6,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,30,,,,
11/09/2024,06:30,11/09/2024,07:55,NHTC 5,,MT PANGLAO ISLAND,CEBU,CEBU_SRDC LAPU LAPU,UNDOCKING,,,880,,,,
11/09/2024,06:30,11/09/2024,07:25,PANAY GULF,,MT GRAND ACE 6,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,30,,,,
11/09/2024,06:40,11/09/2024,07:30,BOHOL SEA,,MT GRAND ACE 6,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,30,,,,
11/09/2024,06:55,11/09/2024,07:40,PACIFIC ROSE 7,,MT PANGLAO ISLAND,CEBU,CEBU_SRDC LAPU LAPU,UNDOCKING,,,880,,,,
11/09/2024,07:30,11/09/2024,09:10,BOHOL SEA,,MT ESPADA,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,,,,,
11/09/2024,07:30,11/09/2024,07:30,CEBU MOORING BOAT,,MT PANGLAO ISLAND,CEBU,CEBU_SRDC LAPU LAPU,UNMOORING,,,880,,,,
11/09/2024,07:30,11/09/2024,09:00,PANAY GULF,,MT ESPADA,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,103,,,,
11/09/2024,09:10,11/10/2024,06:10,BOHOL SEA,,MT ESPADA,DAVAO,DAVAO_INSULAR OIL,TENDING,,,103,,,,
11/09/2024,09:55,11/09/2024,10:30,HOKUTO,,MT BULUSAN,CEBU,CEBU_SPEC PITALO,UNDOCKING,,,216,,,,
11/09/2024,09:55,11/09/2024,10:30,TABANGAO,,MT BULUSAN,CEBU,CEBU_SPEC PITALO,UNDOCKING,,,216,,,,
11/09/2024,12:10,11/09/2024,13:30,HOKUTO,,MT CHELSEA ENDURANCE,CEBU,CEBU_SPEC PITALO,DOCKING,,,241,,,,
11/09/2024,12:10,11/09/2024,13:25,TABANGAO,,MT CHELSEA ENDURANCE,CEBU,CEBU_SPEC PITALO,DOCKING,,,241,,,,
11/09/2024,12:20,11/09/2024,13:45,MANGYAN,,MT PYXIS KARTERIA,SUBIC,SUBIC_PPC TERMINAL,UNDOCKING,,,47,,,,
11/09/2024,12:30,11/09/2024,13:45,SEHANA,,MT PYXIS KARTERIA,SUBIC,SUBIC_PPC TERMINAL,UNDOCKING,,,47,,,,
11/09/2024,13:00,11/11/2024,13:30,PITALO MOORING BOAT,,MT CHELSEA ENDURANCE,CEBU,CEBU_SPEC PITALO,MOORING,,,241,,,,
11/09/2024,13:35,11/11/2024,12:05,HOKUTO,,MT CHELSEA ENDURANCE,CEBU,CEBU_SPEC PITALO,TENDING,,,241,,,,
11/09/2024,13:45,11/09/2024,15:15,MANGYAN,,MT PYXIS KARTERIA,SUBIC,SUBIC_COASTAL,DOCKING,,,,,,,
11/09/2024,13:45,11/09/2024,15:15,SEHANA,,MT PYXIS KARTERIA,SUBIC,SUBIC_COASTAL,DOCKING,,,,,,,
11/09/2024,14:50,11/09/2024,16:25,ENERGY VENUS,,MT TORM ASTRID,QUEZON,QUEZON_AZORA SARIAYA,BOARDING FORMALITIES,,,,,,,
11/09/2024,16:20,11/09/2024,19:00,ENERGY PACIFIC,,MT TORM ASTRID,QUEZON,QUEZON_AZORA SARIAYA,DOCKING,,,,,,,
11/09/2024,16:25,11/09/2024,18:50,ENERGY VENUS,,MT TORM ASTRID,QUEZON,QUEZON_AZORA SARIAYA,DOCKING,,,,,,,
11/09/2024,18:00,11/09/2024,20:05,PANAY GULF,,MT THERESA TIGA,DAVAO,DAVAO_NEW DAVAO OIL MILL,UNDOCKING,,,,,,,
11/09/2024,18:05,11/09/2024,20:05,CEBU STRAIT,,MT THERESA TIGA,DAVAO,DAVAO_NEW DAVAO OIL MILL,UNDOCKING,,,,,,,
11/09/2024,18:10,11/09/2024,20:00,BOHOL SEA,,MT THERESA TIGA,DAVAO,DAVAO_NEW DAVAO OIL MILL,UNDOCKING,,,,,,,
11/10/2024,05:55,11/10/2024,07:15,CEBU STRAIT,,MT ESPADA,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,103,,,,
11/10/2024,06:05,11/10/2024,07:55,PANAY GULF,,MT ESPADA,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,103,,,,
11/10/2024,07:25,11/10/2024,08:35,BOHOL SEA,,MT AVA,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,334,,,,
11/10/2024,07:30,11/10/2024,08:35,CEBU STRAIT,,MT AVA,DAVAO,DAVAO_INSULAR OIL,DOCKING,,,334,,,,
11/10/2024,08:35,11/10/2024,20:25,BOHOL SEA,,MT AVA,DAVAO,DAVAO_INSULAR OIL,TENDING,,,334,,,,
11/10/2024,09:35,11/10/2024,11:45,CEBU STRAIT,,MV SEA HAWK,DAVAO,DAVAO_HOLCIM,DOCKING,,,,,,,
11/10/2024,09:35,11/10/2024,12:00,PANAY GULF,,MV SEA HAWK,DAVAO,DAVAO_HOLCIM,DOCKING,,,,,,,
11/10/2024,14:25,11/10/2024,17:35,SUN JIN NO.505,,MT MALINGAP,BATANGAS,BATANGAS_PETRON MABINI,DOCKING,,,363,,,,
11/10/2024,16:30,11/10/2024,17:10,CEBU STRAIT,,MV SEIYO SPRING,DAVAO,DAVAO_LEGASPI OIL,UNDOCKING,,,2411,,,,
11/10/2024,16:35,11/10/2024,17:00,PANAY GULF,,MV SEIYO SPRING,DAVAO,DAVAO_LEGASPI OIL,UNDOCKING,,,2411,,,,
11/10/2024,19:25,11/10/2024,20:25,BOHOL SEA,,MT AVA,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,334,,,,
11/10/2024,19:30,11/10/2024,20:30,CEBU STRAIT,,MT AVA,DAVAO,DAVAO_INSULAR OIL,UNDOCKING,,,334,,,,
11/11/2024,05:50,11/11/2024,07:15,CEBU STRAIT,,MT AVA,DAVAO,DAVAO_SRDC SASA,DOCKING,,,334,,,,
11/11/2024,05:50,11/11/2024,07:10,PANAY GULF,,MT AVA,DAVAO,DAVAO_SRDC SASA,DOCKING,,,334,,,,
11/11/2024,07:40,11/11/2024,09:20,BOHOL SEA,,MT ESPADA,DAVAO,DAVAO_PHOENIX SASA,DOCKING,,,,,,,
11/11/2024,07:55,11/11/2024,09:15,PANAY GULF,,MT ESPADA,DAVAO,DAVAO_PHOENIX SASA,DOCKING,,,,,,,
11/11/2024,09:20,11/11/2024,11:30,CHOKWANG,,MT MALINGAP,BATANGAS,BATANGAS_PETRON MABINI,UNDOCKING,,,363,,,,
11/11/2024,12:10,11/11/2024,14:20,HOKUTO,,MT CHELSEA ENDURANCE,CEBU,CEBU_SPEC PITALO,UNDOCKING,,,241,,,,
11/11/2024,12:15,11/11/2024,13:40,TABANGAO,,MT CHELSEA ENDURANCE,CEBU,CEBU_SPEC PITALO,UNDOCKING,,,241,,,,
11/11/2024,13:00,11/11/2024,15:30,SUN JIN NO.505,,MT MARINGAL,BATANGAS,BATANGAS_SRDC BATANGAS,DOCKING,,,291,,,,
11/11/2024,14:20,11/11/2024,16:15,ENERGY PACIFIC,,MT TORM ASTRID,QUEZON,QUEZON_AZORA SARIAYA,UNDOCKING,,,,,,,
11/11/2024,14:20,11/11/2024,16:15,ENERGY VENUS,,MT TORM ASTRID,QUEZON,QUEZON_AZORA SARIAYA,UNDOCKING,,,,,,,
11/11/2024,23:05,11/12/2024,01:15,SUN JIN NO.505,,MT MARINGAL,BATANGAS,BATANGAS_SRDC BATANGAS,SHIFTING,,Shifting from berth 5A to 6,291,,,,
11/11/2024,23:20,11/12/2024,00:55,BATANGAS MOORING BOAT,,MT MARINGAL,BATANGAS,BATANGAS_SRDC BATANGAS,MOORING,,,291,,,,
11/11/2024,23:20,11/12/2024,00:55,CHOKWANG,,MT MARINGAL,BATANGAS,BATANGAS_SRDC BATANGAS,DOCKING,,Shifting from 5A to Berth 6,291,,,,
11/11/2024,23:50,11/12/2024,01:35,PANAY GULF,,MT ESPADA,DAVAO,DAVAO_PHOENIX SASA,UNDOCKING,,,,,,,
11/12/2024,00:00,11/12/2024,01:00,CEBU STRAIT,,MT ESPADA,DAVAO,DAVAO_PHOENIX SASA,UNDOCKING,,,,,,,
11/12/2024,02:25,11/12/2024,03:20,CEBU STRAIT,,NTC HERON,DAVAO,DAVAO_PETRON SASA,DOCKING,,,,,,,
11/12/2024,02:35,11/12/2024,03:25,PANAY GULF,,NTC HERON,DAVAO,DAVAO_PETRON SASA,DOCKING,,,,,,,
11/12/2024,03:25,11/12/2024,04:20,CEBU STRAIT,,MT AVA,DAVAO,DAVAO_SRDC SASA,UNDOCKING,,,334,,,,
11/12/2024,03:30,11/12/2024,04:25,PANAY GULF,,MT AVA,DAVAO,DAVAO_SRDC SASA,UNDOCKING,,,334,,,,
