Vessel #,Vessel,,,,
0406,MV SEIYO SPRING,MV SEIYO SPRING_[0406],,,0406
0407,MV THAI BINH 68,MV THAI BINH 68_[0407],,,0407
0408,MT THERESA TIGA,MT THERESA TIGA_[0408],,,0408
0409,MV DOLPHIN 18,MV DOLPHIN 18_[0409],,,0409
0410,MT MURE MURE,MT MURE MURE_[0410],,,0410
0411,MT TORM ASTRID,MT TORM ASTRID_[0411],,,0411
0412,MV PRINCE GOLD,MV PRINCE GOLD_[0412],,,0412
0413,MT MORNING SPARROW,MT MORNING SPARROW_[0413],,,0413
0414,MT GAS MARELLA,MT GAS MARELLA_[0414],,,0414
0415,MV GHARAPURI ISLAND,MV GHARAPURI ISLAND_[0415],,,0415
0416,MT ENDEAVOUR II,MT ENDEAVOUR II_[0416],,,0416
0417,MT NENGYUAN 12,MT NENGYUAN 12_[0417],,,0417
0418,MT PHILOXENIA,MT PHILOXENIA_[0418],,,0418
0419,MV JIN FU XING,MV JIN FU XING_[0419],,,0419
0420,MV STAR 16,MV STAR 16_[0420],,,0420
0421,MT STOLT ALM,MT STOLT ALM_[0421],,,
0422,MT SUPER HERO,MT SUPER HERO_[0422],,,
0423,MV HOA BINH 45,MV HOA BINH 45_[0423],,,
0424,MV SUNRISE 69,MV SUNRISE 69_[0424],,,
0425,MT MP MR TANKER 3,MT MP MR TANKER 3_[0425],,,
0426,MT JAG POOJA,MT JAG POOJA_[0426],,,
0427,MT NAVIG8 GAUNTLET,MT NAVIG8 GAUNTLET_[0427],,,
0428,MT GOLDEN CURL,MT GOLDEN CURL_[0428],,,
0429,MV THAI BINH 02,MV THAI BINH 02_[0429],,,
0430,MV LUGANO STAR,MV LUGANO STAR_[0430],,,
0431,MT CHAMPION PULA,MT CHAMPION PULA_[0431],,,
0432,MT STO LOBELIA,MT STO LOBELIA_[0432],,,
0433,MV LOWLANDS LUCK,MV LOWLANDS LUCK_[0433],,,
0434,MV DONG THINH,MV DONG THINH_[0434],,,
0435,MT MONT BLANC I,MT MONT BLANC I_[0435],,,
0436,MT SHENG HANG 003,MT SHENG HANG 003_[0436],,,
0437,MT DIAMOND EXPRESS,MT DIAMOND EXPRESS_[0437],,,
0438,SRDC LLT OIL SPILL DRILL,SRDC LLT OIL SPILL DRILL_[0438],,,
0439,MV HC GLORY,MV HC GLORY_[0439],,,
0440,MT JOY 120,MT JOY 120_[0440],,,
0441,MT AUGENSTERN,MT AUGENSTERN_[0441],,,
0442,MV CARL OLDENDORF,MV CARL OLDENDORF_[0442],,,
0443,MT MARAN GAS PSARA,MT MARAN GAS PSARA_[0443],,,
0444,MT THERESA DUA,MT THERESA DUA_[0444],,,
0445,MV GOLD RIVER,MV GOLD RIVER_[0445],,,
0446,MT STOLT LIND,MT STOLT LIND_[0446],,,
0447,MV FULVIA,MV FULVIA_[0447],,,
0448,MV FU XING LUN,MV FU XING LUN_[0448],,,
0449,MV AN CHANG,MV AN CHANG_[0449],,,
0450,MV BULK MUSTIQUE,MV BULK MUSTIQUE_[0450],,,
0451,MV RU CHENG SHAN,MV RU CHENG SHAN_[0451],,,
0452,MT FENG YI 3,MT FENG YI 3_[0452],,,
0453,MV CAMBERWELL,MV CAMBERWELL_[0453],,,
0454,MT PRINCESS TOPAZ,MT PRINCESS TOPAZ_[0454],,,
0455,MT STI GRAMERCY,MT STI GRAMERCY_[0455],,,
0456,MT SAMPOW PALM,MT SAMPOW PALM_[0456],,,
0457,LPG/C ESMERALDA,LPG/C ESMERALDA_[0457],,,
0458,MV TAN AN CONFIDENCE,MV TAN AN CONFIDENCE_[0458],,,
0459,MV TAN AN HONESTY,MV TAN AN HONESTY_[0459],,,
0460,MV ARIS LUCKY,MV ARIS LUCKY_[0460],,,
0461,MT FOREVER GLORY,MT FOREVER GLORY_[0461],,,
0462,MT MISSION,MT MISSION_[0462],,,
0463,MT GRAND WINNER,MT GRAND WINNER_[0463],,,
0464,MT GIRONA,MT GIRONA_[0464],,,
0465,MT MAUNLAD,MT MAUNLAD_[0465],,,
0466,MV ARIADNI,MV ARIADNI_[0466],,,
0467,MV STAR 55,MV STAR 55_[0467],,,
0468,MV AP QUEEN,MV AP QUEEN_[0468],,,
0469,MT SASA,MT SASA_[0469],,,
0470,MT DORIC COURAGE,MT DORIC COURAGE_[0470],,,
0471,MT ATALANTA T,MT ATALANTA T_[0471],,,
0472,MT HAFNIA LEOPARD,MT HAFNIA LEOPARD_[0472],,,
0473,MV DIMIJOHN A,MV DIMIJOHN A_[0473],,,
0474,MV WU ZHOU 8,MV WU ZHOU 8_[0474],,,
0475,MV TAN AN DYNAMIC,MV TAN AN DYNAMIC_[0475],,,
0476,MT AQUILA,MT AQUILA_[0476],,,
0477,MT LEO SUNRISE,MT LEO SUNRISE_[0477],,,
0478,MV NEW XA LA,MV NEW XA LA_[0478],,,
0479,MV AE VENUS,MV AE VENUS_[0479],,,
0480,MV SPRING SHINE,MV SPRING SHINE_[0480],,,
0481,MV BARROSA,MV BARROSA_[0481],,,
0482,MV AFRICAN FLAMINGO,MV AFRICAN FLAMINGO_[0482],,,
0483,MV GN RUBY,MV GN RUBY_[0483],,,
0484,MV MERIDIAN SIETE,MV MERIDIAN SIETE_[0484],,,
0485,MT MANTA,MT MANTA_[0485],,,
0486,MT KOURION,MT KOURION_[0486],,,
0487,MT QUINGUA,MT QUINGUA_[0487],,,
0488,MT FENG YI 6,MT FENG YI 6_[0488],,,
0489,MV QUANG MINH 29,MV QUANG MINH 29_[0489],,,
0490,MT ECO II,MT ECO II_[0490],,,
0491,MT YANEE,MT YANEE_[0491],,,
0492,MV HELI,MV HELI_[0492],,,
0493,MT STOLT DUGONG,MT STOLT DUGONG_[0493],,,
0494,MV SPAN 55,MV SPAN 55_[0494],,,
0495,MV SPAN 72,MV SPAN 72_[0495],,,
0496,MV MAGIC ECLIPSE,MV MAGIC ECLIPSE_[0496],,,
0497,MV TONG MAO 101,MV TONG MAO 101_[0497],,,
0498,MT ATLANTIC SUNSHINE,MT ATLANTIC SUNSHINE_[0498],,,
0499,MV SPAN 50,MV SPAN 50_[0499],,,
0500,MV SPAN ASIA 73,MV SPAN ASIA 73_[0500],,,
0501,MT MAYABONG,MT MAYABONG_[0501],,,
0502,MV YONG DING HE,MV YONG DING HE_[0502],,,
0503,MT MANTA GALATASARY,MT MANTA GALATASARY_[0503],,,
0504,MT MARITIME GRACIOUS,MT MARITIME GRACIOUS_[0504],,,
0505,MV BELINDA,MV BELINDA_[0505],,,
0506,MT HOUYOSHI EXPRESS II,MT HOUYOSHI EXPRESS II_[0506],,,
0507,MT YAQUT,MT YAQUT_[0507],,,
0508,MT CHANG HANG KAI TUO,MT CHANG HANG KAI TUO_[0508],,,
0509,MT HAEIN HOPE,MT HAEIN HOPE_[0509],,,
0510,MT PATRIOT,MT PATRIOT_[0510],,,
0511,MV OCEAN HIRYU,MV OCEAN HIRYU_[0511],,,
0512,MV OCEAN SEAGULL,MV OCEAN SEAGULL_[0512],,,
0513,MV LONG TAN 5,MV LONG TAN 5_[0513],,,
0514,LCT MONTREAL,LCT MONTREAL_[0514],,,
0515,MT WOOJIN ELVIS,MT WOOJIN ELVIS_[0515],,,
0516,MV SPAN 70,MV SPAN 70_[0516],,,
0517,MV PHC GLORY,MV PHC GLORY_[0517],,,
0518,MT CHAMPION EBONY,MT CHAMPION EBONY_[0518],,,
0519,MT SEAMERIDIAN,MT SEAMERIDIAN_[0519],,,
0520,MV JC TREASURE,MV JC TREASURE_[0520],,,
0521,MV MY HUNG,MV MY HUNG_[0521],,,
0522,MV CHANG HANG HAO HAI,MV CHANG HANG HAO HAI_[0522],,,
0523,MV EVER CHAMPION,MV EVER CHAMPION_[0523],,,
0524,MT RM 5,MT RM 5_[0524],,,
0525,MV SHENG JI HAI,MV SHENG JI HAI_[0525],,,
0526,MV CLIPPER MEDWAY,MV CLIPPER MEDWAY_[0526],,,
0527,MV RUI NING 21,MV RUI NING 21_[0527],,,
0528,MV LUCKY STAR,MV LUCKY STAR_[0528],,,
0529,MT FOREVER DELIGHT,MT FOREVER DELIGHT_[0529],,,
0530,MT YUAN YU HE,MT YUAN YU HE_[0530],,,
0531,MT NAVE VELOCITY,MT NAVE VELOCITY_[0531],,,
0532,MV SPAN ASIA 70,MV SPAN ASIA 70_[0532],,,
0533,MT DEGU,MT DEGU_[0533],,,
0534,MV DS PROSPERITY 7,MV DS PROSPERITY 7_[0534],,,
0535,MV HOA BINH 54,MV HOA BINH 54_[0535],,,
0536,MV SPAN ASIA 55,MV SPAN ASIA 55_[0536],,,
0537,MV 2GO MASINAG,MV 2GO MASINAG_[0537],,,
0538,MV SPAN ASIA 75,MV SPAN ASIA 75_[0538],,,
0539,MV SSI INTERCEPTOR,MV SSI INTERCEPTOR_[0539],,,
0540,MV LUCKY STAR 6,MV LUCKY STAR 6_[0540],,,
0541,MT GATEWAY,MT GATEWAY_[0541],,,
542,MV SAILBOARD,MV SAILBOARD_[0542],,,
543,MV MAGESTIC MARINA,MV MAGESTIC MARINA_[0543],,,
544,MV TAN BINH 234,MV TAN BINH 234_[0544],,,
545,LPG/C SIGAS INGRID,LPG/C SIGAS INGRID_[0545],,,
546,MV SPAN ASIA 12,MV SPAN ASIA 12_[0546],,,
547,MV MERCURY,MV MERCURY_[0547],,,
548,MT STOLT COURAGE,MT STOLT COURAGE_[0548],,,
549,MV CLIPPER CLYDE,MV CLIPPER CLYDE_[0549],,,
550,MT S SAHAMIT 3,MT S SAHAMIT 3_[0550],,,
551,MV VINACOMIN HA LONG,MV VINACOMIN HA LONG_[0551],,,
552,MT ZY GALAXY,MT ZY GALAXY_[0552],,,
553,MT THERESA GALAXY,MT THERESA GALAXY_[0553],,,
554,MV SEAWAYS PHOENIX,MV SEAWAYS PHOENIX_[0554],,,
555,MV FUTURE GOLD,MV FUTURE GOLD_[0555],,,
556,MT SEAWAYS OLIVE,MT SEAWAYS OLIVE_[0556],,,
557,MV SPAN ASIA 72,MV SPAN ASIA 72_[0557],,,
558,MV SPAN ASIA 71,MV SPAN ASIA 71_[0558],,,
559,MT ST. MICHAELIS,MT ST. MICHAELIS_[0559],,,
560,MV ILLAWARA FORTUNE,MV ILLAWARA FORTUNE_[0560],,,
561,MV YONG SHENG 98,MV YONG SHENG 98_[0561],,,
562,MT FALCON MAJESTIC,MT FALCON MAJESTIC_[0562],,,
563,MT ALPINE MARINA,MT ALPINE MARINA_[0563],,,
564,MT MAERSK MISSISSIPPI,MT MAERSK MISSISSIPPI_[0564],,,
565,MV PORT BELMONTE,MV PORT BELMONTE_[0565],,,
566,BAO LAI,BAO LAI_[0566],,,
567,TAO TREASURE,TAO TREASURE_[0567],,,
568,JAGUAR,JAGUAR_[0568],,,
569,MT CHAMPION CORNELIA,MT CHAMPION CORNELIA_[0569],,,
570,MT TORM ALMENA,MT TORM ALMENA_[0570],,,
571,MT CHANG HANG CHENG GONG,MT CHANG HANG CHENG GONG_[0571],,,
572,MT GOLDEN DENISE,MT GOLDEN DENISE_[0572],,,
573,MV QUEEN YAN,MV QUEEN YAN_[0573],,,
574,MT LEONORA VICTORY,MT LEONORA VICTORY_[0574],,,
575,MT YONG SHENG 99,MT YONG SHENG 99_[0575],,,
576,OCEAN SMOOTH,OCEAN SMOOTH_[0576],,,
577,MT MATIKAS,MT MATIKAS_[0577],,,
579,MV TRANSCENDEN WISDOM,MV TRANSCENDEN WISDOM_[0579],,,
580,BH HENGSHUI,BH HENGSHUI_[0580],,,
581,YING HUA,YING HUA_[0581],,,
582,MT JAG PRIYA,MT JAG PRIYA_[0582],,,
583,MT ELANDRA FJORD,MT ELANDRA FJORD_[0583],,,
584,MV SPAN ASIA 50,MV SPAN ASIA 50_[0584],,,
585,WELL SAILING,WELL SAILING_[0585],,,
586,YIN HAO,YIN HAO_[0586],,,
587,SMOOTH SAILING,SMOOTH SAILING_[0587],,,
588,MV 2GO MASIKAP,MV 2GO MASIKAP_[0588],,,
589,MV TAN BINH 59,MV TAN BINH 59_[0589],,,
591,MV DK APOLLO,MV DK APOLLO_[0591],,,
592,MV BI JIA SHAN,MV BI JIA SHAN_[0592],,,
593,MT SEA DOLPHIN,MT SEA DOLPHIN_[0593],,,
594,MV SPAN ASIA 51,MV SPAN ASIA 51_[0594],,,
595,XIN ZHOU XING,XIN ZHOU XING_[0595],,,
596,BAI DE 66,BAI DE 66_[0596],,,
597,MT RM 1,MT RM 1_[0597],,,
603,MV SWIFT YANGZHOU,MV SWIFT YANGZHOU_[0603],,,
604,MT YONG CHANG JI XIANG,MT YONG CHANG JI XIANG_[0604],,,
605,MT HUI HANG 11,MT HUI HANG 11_[0605],,,
606,ERA STAR,ERA STAR_[0606],,,
607,MT CHANG HANG FENG CAI,MT CHANG HANG FENG CAI_[0607],,,
608,MT HAFNIA OSPREY,MT HAFNIA OSPREY_[0608],,,
609,MT HIGH SD YIHE,MT HIGH SD YIHE_[0609],,,
610,SUNSHINE 01,SUNSHINE 01_[0610],,,
611,MT STI OPERA,MT STI OPERA_[0611],,,
612,MV ZHIDA 3,MV ZHIDA 3_[0612],,,
613,MV HAI AU 28,MV HAI AU 28_[0613],,,
614,MV KELLET ISLAND,MV KELLET ISLAND_[0614],,,
615,MT MARIA ERIKA,MT MARIA ERIKA_[0615],,,
616,MT NORD MIRAI,MT NORD MIRAI_[0616],,,
617,MT SEAWAYS CASTLE HILL,MT SEAWAYS CASTLE HILL_[0617],,,
618,MV ROYAL 27,MV ROYAL 27_[0618],,,
619,MT CL ZHAOGE,MT CL ZHAOGE_[0619],,,
620,MV HPC HARMONY,MV HPC HARMONY_[0620],,,
621,MV SPAN ASIA 36,MV SPAN ASIA 36_[0621],,,
622,MV SPAN ASIA 37,MV SPAN ASIA 37_[0622],,,
623,MV JAL KALP,MV JAL KALP_[0623],,,
624,MV HUA HENG 166,MV HUA HENG 166_[0624],,,
625,MV SPAN ASIA 57,MV SPAN ASIA 57_[0625],,,
626,YANGZE 10,YANGZE 10_[0626],,,
627,MT ALEAH LOUISE,MT ALEAH LOUISE_[0627],,,
628,MT CHASE OCEAN,MT CHASE OCEAN_[0628],,,
629,MT MINTAKA,MT MINTAKA_[0629],,,
630,MT MARITIME GUARDIAN,MT MARITIME GUARDIAN_[0630],,,
631,MT GRAND ACE 12,MT GRAND ACE 12_[0631],,,
632,MT ATLANTIC CROWN,MT ATLANTIC CROWN_[0632],,,
633,MT ECOMAR GARONNE,MT ECOMAR GARONNE_[0633],,,
634,MV DL LAVENDER,MV DL LAVENDER_[0634],,,
635,MV VINH QUANG GREEN,MV VINH QUANG GREEN_[0635],,,
636,BAO AN,BAO AN_[0636],,,
637,MV TRANSCENDEN DIAMOND,MV TRANSCENDEN DIAMOND_[0637],,,
638,MV VIET HAI SUN,MV VIET HAI SUN_[0638],,,
639,MT XT DOLPHIN,MT XT DOLPHIN_[0639],,,
640,MT ANDREA SC,MT ANDREA SC_[0640],,,
641,MV TRIDENT UNITY,MV TRIDENT UNITY_[0641],,,
642,MV NOBLE ISLAND,MV NOBLE ISLAND_[0642],,,
643,MV KEN REI,MV KEN REI_[0643],,,
644,MV SHUN PING,MV SHUN PING_[0644],,,
645,MV NEW ENRICH,MV NEW ENRICH_[0645],,,
646,MV BYD EXPLORER NO. 1,MV BYD EXPLORER NO. 1_[0646],,,
647,SUNSHINE STAR,SUNSHINE STAR_[0647],,,
648,MV HOANG ANH 6,MV HOANG ANH 6_[0648],,,
649,MV HN FORTUNE,MV HN FORTUNE_[0649],,,
650,MV HONEY ISLAND,MV HONEY ISLAND_[0650],,,
651,MV DK SUNRISE,MV DK SUNRISE_[0651],,,
652,MV DS PROSPER,MV DS PROSPER_[0652],,,
653,MT XU YUE 168,MT XU YUE 168_[0653],,,
654,MT SPAS TIGA,MT SPAS TIGA_[0654],,,
655,MV SHEN HUA 811,MV SHEN HUA 811_[0655],,,
656,MT QUAN TAI,MT QUAN TAI_[0656],,,
657,MT AULAC CONIFER,MT AULAC CONIFER_[0657],,,
658,MT SILVER DUBAI,MT SILVER DUBAI_[0658],,,
659,MV YOU HAO 3,MV YOU HAO 3_[0659],,,
660,MT ADELAIDE,MT ADELAIDE_[0660],,,
661,MT HANSA SEALIFTER,MT HANSA SEALIFTER_[0661],,,
662,MV YAN GANG 2,MV YAN GANG 2_[0662],,,
663,MT CHELSEA CHARLIZE,MT CHELSEA CHARLIZE_[0663],,,
664,GLOBAL CROWN,GLOBAL CROWN_[0664],,,
665,YUAN PINGSEA,YUAN PINGSEA_[0665],,,
666,MT NAVIG8 GOAL,MT NAVIG8 GOAL_[0666],,,
667,MT SHAN GANG FA XIAN,MT SHAN GANG FA XIAN_[0667],,,
668,MV HTP LUCKY,MV HTP LUCKY_[0668],,,
669,MT JAMIE FAITH 1,MT JAMIE FAITH 1_[0669],,,
670,MV VISION 1,MV VISION 1_[0670],,,
671,MV JAG ANJALI,MV JAG ANJALI_[0671],,,
672,MT HEROLDS BAY,MT HEROLDS BAY_[0672],,,
673,MT FOREVER CONFIDENCE,MT FOREVER CONFIDENCE_[0673],,,
674,MV GUO SHUN 28,MV GUO SHUN 28_[0674],,,
675,MV PAIWAN ACE,MV PAIWAN ACE_[0675],,,
676,MV NEWPORT NEWS,MV NEWPORT NEWS_[0676],,,
677,MV REYNA SMILE,MV REYNA SMILE_[0677],,,
678,MT YOONA FAITH,MT YOONA FAITH_[0678],,,
679,MV UNIVERSE RELIANCE,MV UNIVERSE RELIANCE_[0679],,,
680,MV ASIA PACIFIC,MV ASIA PACIFIC_[0680],,,
681,MT JAL KAVERI,MT JAL KAVERI_[0681],,,
682,MT GOLDEN RAY,MT GOLDEN RAY_[0682],,,
683,MT PHILIPPA PIRAYA,MT PHILIPPA PIRAYA_[0683],,,
684,MV ATN LUCKY,MV ATN LUCKY_[0684],,,
685,MV OCEAN GOLD,MV OCEAN GOLD_[0685],,,
686,MV NING MAY,MV NING MAY_[0686],,,
687,MT CSC FRIENDSHIP,MT CSC FRIENDSHIP_[0687],,,
688,MV NORDTIGRIS,MV NORDTIGRIS_[0688],,,
689,MV VOSCO SUNLIGHT,MV VOSCO SUNLIGHT_[0689],,,
690,MT MP MR TANKER 1,MT MP MR TANKER 1_[0690],,,
691,MV ULTRA CRIMSON,MV ULTRA CRIMSON_[0691],,,
692,MV TRANS-ASIA 17,MV TRANS-ASIA 17_[0692],,,
693,MT EMMA GRACE,MT EMMA GRACE_[0693],,,
694,MT CORDOBA,MT CORDOBA_[0694],,,
695,MV KRISTINITA,MV KRISTINITA_[0695],,,
696,MV JESSIE,MV JESSIE_[0696],,,
697,MV BRILLIANT TRADER,MV BRILLIANT TRADER_[0697],,,
698,MV SHIN IZU,MV SHIN IZU_[0698],,,
699,MV PORT NARA,MV PORT NARA_[0699],,,
700,MV OCEANWIN GLORY,MV OCEANWIN GLORY_[0700],,,
701,MV THOMPSON,MV THOMPSON_[0701],,,
702,MV GOOBY,MV GOOBY_[0702],,,
703,MV VIET THUAN,MV VIET THUAN_[0703],,,
704,MV F SPIRIT,MV F SPIRIT_[0704],,,
705,MV FEDERAL SW,MV FEDERAL SW_[0705],,,
707,MT SIRI PIPAT,MT SIRI PIPAT_[0707],,,
708,MT STENA IMPULSE,MT STENA IMPULSE_[0708],,,
709,MT PLATINUM JUBILEE,MT PLATINUM JUBILEE_[0709],,,
710,MV SKY HEIGHT,MV SKY HEIGHT_[0710],,,
711,MT PHUBAI PATTRA 5,MT PHUBAI PATTRA 5_[0711],,,
712,MT TORM SINGAPORE,MT TORM SINGAPORE_[0712],,,
713,MT RAINBOW STAR,MT RAINBOW STAR_[0713],,,
714,HAFNIA PHOENIX,HAFNIA PHOENIX_[0714],,,
715,MV PATIENCE LAKE,MV PATIENCE LAKE_[0715],,,
716,MV POAVOSA WISDOM III,MV POAVOSA WISDOM III_[0716],,,
717,NTC AGILA,NTC AGILA_[0717],,,
718,CLIO SPIRIT,CLIO SPIRIT_[0718],,,
719,MV HE CHANG,MV HE CHANG_[0719],,,
720,MV DIAMOND HARBOUR,MV DIAMOND HARBOUR_[0720],,,
721,MV YONG SHUN 8,MV YONG SHUN 8_[0721],,,
722,MV HOANG HUY 69,MV HOANG HUY 69_[0722],,,
723,MV PEARL ORIENT,MV PEARL ORIENT_[0723],,,
724,MT JAL SITARA,MT JAL SITARA_[0724],,,
725,MV GIA LONG,MV GIA LONG_[0725],,,
726,MT SHENG HANG FA XIAN,MT SHENG HANG FA XIAN_[0726],,,
727,MV LOWLANDS FIDELITY,MV LOWLANDS FIDELITY_[0727],,,
728,MV DON ALBINO SR,MV DON ALBINO SR_[0728],,,
729,MV MERIDIAN OCHO,MV MERIDIAN OCHO_[0729],,,
730,MV CEMTEX INNOVATION,MV CEMTEX INNOVATION_[0730],,,
731,VTV SKY,VTV SKY_[0731],,,
732,MV AEPOS,MV AEPOS_[0732],,,
733,BTC MOUNT SAMAT,BTC MOUNT SAMAT_[0733],,,
734,MT MALAWIG,MT MALAWIG_[0734],,,
735,CORESKY OL,CORESKY OL_[0735],,,
736,LPG SHION,LPG SHION_[0736],,,
737,MT CES,MT CES_[0737],,,
738,MV GRACE,MV GRACE_[0738],,,
739,MT FOREVER BRILLIANCY,MT FOREVER BRILLIANCY_[0739],,,
740,MT XIU CHI,MT XIU CHI_[0740],,,
741,MT PRATINCOLE PACIFIC,MT PRATINCOLE PACIFIC_[0741],,,
742,MT SILVER ELLIE,MT SILVER ELLIE_[0742],,,
743,MV GATE GOLD,MV GATE GOLD_[0743],,,
744,MT PETROLIMEX 16,MT PETROLIMEX 16_[0744],,,
745,MT PACIFIC JET,MT PACIFIC JET_[0745],,,
746,MV TRUONG MINH DRAGON,MV TRUONG MINH DRAGON_[0746],,,
747,MT ALL ORIENT 1,MT ALL ORIENT 1_[0747],,,
748,MV WU GU FENG,MV WU GU FENG_[0748],,,
749,JS SHIRANUI,JS SHIRANUI_[0749],,,
750,JS YAMAGIRI,JS YAMAGIRI_[0750],,,
751,MV VINASHIP GOLD,MV VINASHIP GOLD_[0751],,,
752,MV HOANG TRIEU 68,MV HOANG TRIEU 68_[0752],,,
753,MV ROYAL 16,MV ROYAL 16_[0753],,,
754,MV JIN HAI RUN,MV JIN HAI RUN_[0754],,,
755,MV ESPOIR SEVEN,MV ESPOIR SEVEN_[0755],,,
756,MT CSC AUSPICIOUS,MT CSC AUSPICIOUS_[0756],,,
757,MT MARLIN AMETRINE,MT MARLIN AMETRINE_[0757],,,
758,MT CHEMROAD DITA,MT CHEMROAD DITA_[0758],,,
759,MT RUI FU SHENG,MT RUI FU SHENG_[0759],,,
760,MT FOREVER SPLENDOR,MT FOREVER SPLENDOR_[0760],,,
761,MT HAFNIA LOTTE,MT HAFNIA LOTTE_[0761],,,
762,MV VIEN DONG 09,MV VIEN DONG 09_[0762],,,
763,MV DARYA JIYA,MV DARYA JIYA_[0763],,,
764,MV HI CREST,MV HI CREST_[0764],,,
765,LPG/C PURE GRACE,LPG/C PURE GRACE_[0765],,,
766,MV NEWSUN BLUE ,MV NEWSUN BLUE _[0766],,,
767,MV SHANGHAI SPIRIT,MV SHANGHAI SPIRIT_[0767],,,
768,MV PEARL ASIA,MV PEARL ASIA_[0768],,,
769,MT QIAN CHI,MT QIAN CHI_[0769],,,
770,MV SEIN GALAXY,MV SEIN GALAXY_[0770],,,
771,MV ZHON YU 28,MV ZHON YU 28_[0771],,,
772,MT DING HENG 43,MT DING HENG 43_[0772],,,
773,LPG/C SL BISUGO,LPG/C SL BISUGO_[0773],,,
774,SL DIWATA,SL DIWATA_[0774],,,
775,MV TRANS-ASIA 3,MV TRANS-ASIA 3_[0775],,,
776,MV 2GO MALIGAYA,MV 2GO MALIGAYA_[0776],,,
777,MV BAI DE 66,MV BAI DE 66_[0777],,,
778,MV CLIPPER SPEY,MV CLIPPER SPEY_[0778],,,
779,MT ECOMAR GIRONDE ,MT ECOMAR GIRONDE _[0779],,,
780,LCT FUTURE 02,LCT FUTURE 02_[0780],,,
781,MV AN TINH PU,MV AN TINH PU_[0781],,,
782,MV SHI LONG LING,MV SHI LONG LING_[0782],,,
783,MV GREEN PACIFIC,MV GREEN PACIFIC_[0783],,,
784,MV PACIFIC MERIT,MV PACIFIC MERIT_[0784],,,
785,MT JAN CARLO,MT JAN CARLO_[0785],,,
786,MT PIS BALI,MT PIS BALI_[0786],,,
787,MT EBC MARICEL V,MT EBC MARICEL V_[0787],,,
788,MV GREEN WAY,MV GREEN WAY_[0788],,,
789,BUOY,BUOY_[0789],,,
790,MV CROWN GOLD,MV CROWN GOLD_[0790],,,
791,MV SHUN AN,MV SHUN AN_[0791],,,
792,MV HS GLORY,MV HS GLORY_[0792],,,
793,MV ECUADOR,MV ECUADOR_[0793],,,
794,MT RM 9,MT RM 9_[0794],,,
795,MV PALLADA,MV PALLADA_[0795],,,
796,MV VS GLORY,MV VS GLORY_[0796],,,
797,MV JOHN A. ANGELICOUSSIS,MV JOHN A. ANGELICOUSSIS_[0797],,,
798,MT TORM AMALIE,MT TORM AMALIE_[0798],,,
799,MT JBU SAPPHIRE,MT JBU SAPPHIRE_[0799],,,
800,MT YSABEL 100,MT YSABEL 100_[0800],,,
801,MV BAO YUAN LING,MV BAO YUAN LING_[0801],,,
802,MT RIGEL,MT RIGEL_[0802],,,
803,MT HOUYOSHI PARK,MT HOUYOSHI PARK_[0803],,,
804,MT LUCIA SOLIS,MT LUCIA SOLIS_[0804],,,
805,MT PVT NOVA,MT PVT NOVA_[0805],,,
806,MT NORD VALOROUS,MT NORD VALOROUS_[0806],,,
807,MV ARDMORE CHIPPEWA,MV ARDMORE CHIPPEWA_[0807],,,
808,MV JIA AN,MV JIA AN_[0808],,,
809,MV SPAN ASIA 52,MV SPAN ASIA 52_[0809],,,
810,MT HUA CHI,MT HUA CHI_[0810],,,
811,LPG/C HONG JIA,LPG/C HONG JIA_[0811],,,
812,MT JAL SIDDHI,MT JAL SIDDHI_[0812],,,
813,MT MTM NEW YORK,MT MTM NEW YORK_[0813],,,
814,MT HIGH TRADER,MT HIGH TRADER_[0814],,,
815,MT COSTICA,MT COSTICA_[0815],,,
816,MT MASAGANA,MT MASAGANA_[0816],,,
817,MT MAGENTA RAY,MT MAGENTA RAY_[0817],,,
818,MV ROYAL 79,MV ROYAL 79_[0818],,,
819,MT NAVE HINA,MT NAVE HINA_[0819],,,
820,MV EXCELSIOR DIVA,MV EXCELSIOR DIVA_[0820],,,
821,MV KIRRY MANX,MV KIRRY MANX_[0821],,,
822,MV DART TRADER,MV DART TRADER_[0822],,,
823,MV XIANG XIN,MV XIANG XIN_[0823],,,
824,MV FORTITUDE,MV FORTITUDE_[0824],,,
