Vessel #,Vessel,,,,
0153,MV AENEAS,MV AENEAS_[0153],,,0153
0154,MV RASALAS,MV RASALAS_[0154],,,0154
0155,DOÑA CAROLINE JOY,DOÑA CAROLINE JOY_[0155],,,0155
0156,DON ALFREDO SR3,DON ALFREDO SR3_[0156],,,0156
0157,DON CEFERINO ALFREDO,DON CEFERINO ALFREDO_[0157],,,0157
0158,MV GOLD EAGLE,MV GOLD EAGLE_[0158],,,0158
0159,NTC FLAMINGO,NTC FLAMINGO_[0159],,,0159
0160,MTKR SK LINE 1,MTKR SK LINE 1_[0160],,,0160
0161,MTKR LADY LILIBETH,MTKR LADY LILIBETH_[0161],,,0161
0162,SH SARAH,SH SARAH_[0162],,,0162
0163,MT ARDMORE ENDURANCE,MT ARDMORE ENDURANCE_[0163],,,0163
0164,MV GREEN ITALIA,MV GREEN ITALIA_[0164],,,0164
0165,MV T&T GOLD,MV T&T GOLD_[0165],,,0165
0166,MT CENTENNIAL MATSUYAMA,MT CENTENNIAL MATSUYAMA_[0166],,,0166
0167,MV IRIS PAOAY,MV IRIS PAOAY_[0167],,,0167
0168,MV SWAN RIVER,MV SWAN RIVER_[0168],,,0168
0169,MV PORT ALBERNI,MV PORT ALBERNI_[0169],,,0169
0170,MT RICH RAINBOW,MT RICH RAINBOW_[0170],,,0170
0171,MT RICH RAINBOW,MT RICH RAINBOW_[0171],,,0171
0172,MT HARRISBURG,MT HARRISBURG_[0172],,,0172
0173,MV IMOGEN,MV IMOGEN_[0173],,,0173
0174,JIN HAI PING,JIN HAI PING_[0174],,,0174
0175,MT MATIPUNO,MT MATIPUNO_[0175],,,0175
0176,MV SPAN ASIA 25,MV SPAN ASIA 25_[0176],,,0176
0177,PACIFIC INTEGRITY,PACIFIC INTEGRITY_[0177],,,0177
0178,MV THERESA HEBEI,MV THERESA HEBEI_[0178],,,0178
0179,MT CLEAR OCEAN GINGKO,MT CLEAR OCEAN GINGKO_[0179],,,0179
0180,OCEAN GRACE 01,OCEAN GRACE 01_[0180],,,0180
0181,MT STAR EAGLE,MT STAR EAGLE_[0181],,,0181
0182,DON CHARLES ROBERT,DON CHARLES ROBERT_[0182],,,0182
0183,MV LORCON ILOILO,MV LORCON ILOILO_[0183],,,0183
0184,MT DALMACIJA,MT DALMACIJA_[0184],,,0184
0185,MV DARYA RAMA,MV DARYA RAMA_[0185],,,0185
0186,MT ALINYA,MT ALINYA_[0186],,,0186
0187,MARITIME VERITY,MARITIME VERITY_[0187],,,0187
0188,MV SPAN ASIA 32,MV SPAN ASIA 32_[0188],,,0188
0189,MT ARRAN,MT ARRAN_[0189],,,0189
