RECID,AGENT,NUMBER,NAME,ADDRESS1,ADDRESS2,ADDRESS3,TIN,BUSINESS,TERMS,LANDLINE1,LANDLINE2,MOBILE1,MOBILE2,VATABLE,ACTIVE,CREATEDDAT,CREATEDBY,UPDATEDDAT,UPDATEDBY
150,0027,0025,"TUANLONG SHIPPING CO., LTD","337 DA NANG STR, NGO QUYEN DIST. HAI PHONG CITY,",VIETNAM,,---,,0,,,,,False,True,2025-07-02 16:12:19,2265,,
151,0051,0018,KAIROS OIL TRADING LTD.,C/O BEN LINE AGENCIES PHILS,,,---,,30,,,,,False,True,2025-07-05 14:47:15.999000,2265,,
152,0051,0019,"GAC PHILIPPINES, INC.",C/O BENLINE AGENCIES PHILIPPINES,,,---,,30,,,,,False,True,2025-07-14 14:34:53,2265,,
153,0051,0020,"RONGTUA SHIPPING GROUP CO., LTD",C/O BENLINE AGENCIES PHILIPPINES,,,---,,30,,,,,False,True,2025-07-19 11:01:34.999000,2265,,
154,0051,0021,SHANGHAI XIANGYU SUPERCHAIN SUPPLY CHAIN CO LTD,C/O BENLINE AGENCIES PHILIPPINES,,,---,,30,,,,,False,True,2025-07-26 13:42:14,2265,,
155,0027,0026,"HONG SON TRADING SERVICE CO., LTD.","LOT A, NGUYEN DUC CANH INDUSTRY PARK,","TIEN PHONG WARD, THAI BINH CITY, THAI BINH PROVINCE, VIET NA",,---,,0,,,,,False,True,2025-08-27 15:01:23.999000,2265,,
156,0027,0027,HOANG HA SHIPPING - TRADING COMPANY LIMITED,"47/5A PHAM PHU THU, HONG BANG WARD,","HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2025-08-29 12:08:47.999000,2265,,
157,0051,0022,GLOBAL TRANSIT TRADING (S) PTE LTD,C/O BENLINE PHILIPPINES,,,---,,30,,,,,False,True,2025-09-04 11:01:31,2265,,
158,0051,0023,MAERSK TANKERS A/S,C/O BENLINE PHILIPPINES,,,---,,30,,,,,False,True,2025-09-08 10:59:03.999000,2265,,
159,0027,0028,VIET HAI COMPANY LIMITED,"MG 02-08 VINCOM SHOPHOUSE, 01 LE THANH TONG ST.,","NGO QUYEN WARD., HAI PHONG, VIET NAM.",,---,,0,,,,,False,True,2025-09-22 15:11:08.999000,2265,,
160,0027,0029,ANH DUONG PRODUCTION TRADING GROUP JS. COMPANY,"LY NHAN HAMIET, XUAN LANG COMMUNE,","PHU THO PROVINCE, VIETNAM",,---,,0,,,,,False,True,2025-10-01 12:12:41,2265,,
161,0051,0024,DIANA SHIPPING AGENCIES S.A,C/O BEN LINE AGENCIES PHILIPPINES INC.,,,---,,30,,,,,False,True,2025-11-11 16:11:44.999000,2265,,
162,0051,0025,CHINA  MARINE SHIPPING AGENCY - GUANGDONG COMPANY LTD.,"17TH FLOOR, SINOTRANS BUILDING, 97 HAIYUAR ROAD,","HUANGPU DISTRICT, GUANGZHOU,GUANGDONG PROVINCE CHINA",C/O BEN LINE AGENCIES PHILIPPINES INC.,----   -   -,,30,,,,,False,True,2025-11-19 13:30:12,2265,,
163,0027,0030,SM SHIP MARINE SERVICES AGENCY INC.,DOOR A24 ECA BUILDING NATIONAL HIGHWAY CITY HEIGHTS 9500,GENERAL SANTOS CITY (DADIANGAS) SOUTH COTABATO PHILIPPINES,,---,,0,,,,,False,True,2025-12-09 14:47:31.999000,2265,,
164,0051,0026,SINOTRANS SOUTH CHINA CO LTD.,C/O BENLINE AGENCIES PHILS. INC.,,,---,,30,,,,,False,True,2025-12-11 10:34:19.999000,2265,,
165,0006,0005,UNIVERSITY OF WASHINGTON SCHOOL OF OCEANOGRAPHY,"1501 NE BOAT STREET, SEATTLE, WASHINGTON,",UNITED STATES,,---,,30,,,,,False,True,2025-12-29 10:16:55.999000,2265,,
166,0051,0027,"INFRASTRUKTUR TELEKOMUNIKASI INDONESIA, PT. (TELKOM INFRA)","C/O BEN LINE AGENCIES PHILIPPINES, INC.",,,---,,30,,,,,False,True,2026-01-02 16:35:56,2265,,
167,0051,0028,MING WAH AGENCY PTE LTD,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-01-12 11:46:53,2265,,
168,0051,0029,PHILCEMENT CORPORATION,"GARCIA ROAD, MARIVELES DIVERSION ROAD","SISIMAN, MARIVELES BATAAN",,009-828-206-00000,,30,,,,,True,True,2026-01-15 10:38:16,2265,,
169,0051,0030,STENA BULK A/S,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-01-26 09:12:01.999000,2265,,
170,0034,0001,MAERSK TANKERS A/S,C/O WALLEM PHILIPPINES SHIPPING INC.,,,---,,7,,,,,False,True,2026-01-28 11:02:23.999000,2265,,
171,0051,0031,NANJING SHENGHANG SHIPPING CO. LTD,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-02-02 09:52:45,2265,,
172,0051,0032,HUB AGENT HUMANN/TACONNET,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-02-11 11:50:37.999000,2265,,
173,0051,0033,SHELL INTERNATIONAL EASTERN TRADING COMPANY,C/O BENLINE AGENCIES PHILIPPINES,,,---,,30,,,,,False,True,2026-02-24 15:41:39,2265,,
174,0027,0031,HOANG TRIEU JOINT STOCK COMPANY,"VILLA 112, LOT 01/97 BACH DANG ST., HA LY WARD,","HONG BANG DIST., HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2026-02-26 10:02:24,2265,,
175,0034,0002,EASTERN CAR LINER LTD.,C/O WALLEM PHILIPPINES SHIPPING INC.,,,   ---,,7,,,,,False,True,2026-02-26 11:25:14,2265,,
176,0034,0003,"ASUNARO INTERNATIONAL CO., LTD.",C/O WALLEM PHILIPPINES SHIPPING INC.,,,---,,7,,,,,False,True,2026-02-26 11:26:20,2265,,
177,0051,0034,VINASHIP JOINT STOCK COMPANY,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-03-04 15:04:12,2265,,
178,0027,0032,"GIA LONG TRADING & SHIPPING CO., LTD","22 LE LAI, BEN THANH WARD, DIST. 1,","HO CHI MINH CITY, VIETNAM",,---,,0,,,,,False,True,2026-03-09 09:50:17,2265,,
179,0027,0033,VTB HAI AU COMPANY LIMITED,"NO 26/180 TRUNG LUC, DANG LAM WARD,","HAI AN DISTRICT, HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2026-03-09 09:51:03,2265,,
180,0051,0035,MARAN GAS MARITIME INC.,8 ACHILLEOS & LABROU KATSONI ST KALLITHEA,ATHENS 176 74 GREECE,,---,,30,,,,,False,True,2026-04-14 09:18:40,2265,,
181,0051,0036,"YOSEIMARU MARINE CO.,LIMITED",UNIT NO. 532B 5/F STAR HOUSE,NO.3 SALISBURY ROAD TSIM SHA TSUI KL,C/O BEN LINE AGENCIES PHILS. INC.,---,,30,,,,,False,True,2026-04-14 15:26:34.999000,2265,,
182,0063,0002,PETRON SINGAPORE TRADING PRIVATE LIMITED,C/O SOUTHWEST SHIPPING,,,---,,7,,,,,False,True,2026-05-05 09:00:04,2265,,
183,0034,0004,RAFFLES SHIPMANAGEMENT SERVICES PTE LTD,C/O WALLEM PHILIPPINES SHIPPING INC.,,,---,,7,,,,,False,True,2026-05-09 11:35:41.999000,2265,,
