RECID,CRNUM,CRDATE,CUSTNO,AMOUNT,N2307,BANKACCTCO,CHECKNO,CHECKDATE,DATEDEPOSI,UNDOCUMENT,CREATEDBY,CREATEDDAT
30,C000012,2025-01-21,0023,126340.25,0.0,001,,2025-01-21,2025-01-21,True,2265,2025-01-29 11:20:17
31,287,2025-01-11,0016,88179.0,0.0,001,,2025-01-11,2025-01-11,False,2265,2025-01-29 11:28:07.999000
32,398,2025-02-07,0051,1714260.0,0.0,001,,,2025-02-07,False,2265,2025-03-04 14:25:38.999000
33,399,2025-02-07,0051,3050000.0,0.0,001,,,2025-02-07,False,2265,2025-03-04 14:27:02.999000
34,0372,2025-03-29,0007,239004.46,4345.54,001,1000064043,2025-02-07,2025-02-07,False,2265,2025-03-29 10:19:07.999000
35,0374,2025-03-29,0007,316348.21,5751.79,001,1000064045,2025-02-07,2025-02-07,False,2265,2025-03-29 10:21:49
36,0376,2025-03-29,0006,2887381.81,0.0,001,112949,2025-02-07,2025-02-07,False,2265,2025-03-29 10:24:05.999000
37,0379,2025-03-29,0007,484157.14,8802.86,001,91020,2025-02-07,2025-02-07,False,2265,2025-03-29 10:36:26.999000
38,0380,2025-03-29,0007,595433.93,10826.07,001,91021,2025-02-07,2025-02-07,False,2265,2025-03-29 10:40:10.999000
39,0381,2025-03-29,0007,492800.0,8960.0,001,91022,2025-02-07,2025-02-07,False,2265,2025-03-29 10:42:35
40,0385,2025-03-29,0007,88392.86,1607.14,001,1000277390,2025-02-21,2025-02-21,False,2265,2025-03-29 10:47:42.999000
41,0386,2025-03-29,0007,537232.14,9767.86,001,91030,2025-02-21,2025-02-21,False,2265,2025-03-29 10:51:17.999000
42,0387,2025-03-29,0007,505548.21,9191.79,001,91031,2025-02-21,2025-02-21,False,2265,2025-03-29 10:53:11
43,0388,2025-03-29,0007,351842.86,6397.14,001,91032,2025-02-21,2025-02-21,False,2265,2025-03-29 10:54:35
44,0389,2025-03-29,0007,505548.21,9191.79,001,91033,2025-02-21,2025-02-21,False,2265,2025-03-29 10:56:10
45,0390,2025-03-29,0048,552222.07,0.0,001,1200002922,2025-02-26,2025-02-26,False,2265,2025-03-29 10:59:22
46,0391,2025-03-29,0007,137500.0,2500.0,001,10000227437,2025-02-28,2025-02-28,False,2265,2025-03-29 11:00:37
47,0392,2025-03-29,0007,219754.46,3995.54,001,1000227438,2025-02-28,2025-02-28,False,2265,2025-03-29 11:02:22
48,0393,2025-03-29,0007,88392.86,1607.14,001,1000227439,2025-02-28,2025-02-28,False,2265,2025-03-29 11:03:53.999000
49,0394,2025-03-29,0007,514407.14,9352.86,001,91040,2025-02-28,2025-02-28,False,2265,2025-03-29 11:05:14.999000
50,0395,2025-03-29,0007,609183.93,11076.07,001,91041,2025-02-28,2025-02-28,False,2265,2025-03-29 11:08:38
51,0396,2025-03-29,0007,538960.71,9799.29,001,91042,2025-02-28,2025-02-28,False,2265,2025-03-29 11:11:46
52,0397,2025-03-29,0007,137500.0,2500.0,001,91043,2025-02-28,2025-02-28,False,2265,2025-03-29 11:13:09.999000
53,0400,2025-03-29,0007,108035.71,1964.29,001,10000227589,2025-03-13,2025-03-13,False,2265,2025-03-29 11:17:26
54,0401,2025-03-29,0007,523482.14,9517.86,001,91052,2025-03-13,2025-03-13,False,2265,2025-03-29 11:18:55
55,0402,2025-03-29,0007,430925.0,7835.0,001,91053,2025-03-13,2025-03-13,False,2265,2025-03-29 11:21:42.999000
56,0403,2025-03-29,0007,283916.88,5162.13,001,1000227613,2025-03-13,2025-03-13,False,2265,2025-03-29 11:22:57.999000
57,0404,2025-03-29,0007,70370.29,1279.46,001,1000227612,2025-03-13,2025-03-13,False,2265,2025-03-29 11:24:48.999000
58,0405,2025-03-29,0007,283916.88,5162.13,001,1000227614,2025-03-13,2025-03-13,False,2265,2025-03-29 11:25:52
59,0406,2025-03-29,0007,515625.0,9375.0,001,91062,2025-03-27,2025-03-27,False,2265,2025-03-29 11:27:30.999000
60,0407,2025-03-29,0007,387710.71,7049.29,001,91063,2025-03-27,2025-03-27,False,2265,2025-03-29 11:28:51.999000
61,0408,2025-03-29,0007,532557.14,9682.86,001,91064,2025-03-27,2025-03-27,False,2265,2025-03-29 11:30:29.999000
62,0409,2025-03-29,0007,568425.0,10335.0,001,91065,2025-03-27,2025-03-27,False,2265,2025-03-29 11:32:10
63,0410,2025-03-29,0007,511951.79,9308.21,001,91067,2025-03-27,2025-03-27,False,2265,2025-03-29 11:33:26.999000
64,0411,2025-03-29,0046,238700.0,4340.0,001,110934,2025-03-28,2025-03-28,False,2265,2025-03-29 11:35:07
65,0412,2025-03-29,0057,477400.0,8680.0,001,590087,2025-03-28,2025-03-28,False,2265,2025-03-29 11:46:38
66,C000013,2025-03-29,0051,420822.0,0.0,001,,2025-03-12,2025-03-12,True,2265,2025-03-29 13:03:04.999000
67,C000014,2025-03-29,0004,478296.0,0.0,001,,2025-01-31,2025-01-31,True,2265,2025-03-29 13:05:51
68,C000015,2025-03-29,0001,453937.41,0.0,001,,2025-02-06,2025-02-06,True,2265,2025-03-29 13:08:09.999000
69,0377,2025-03-29,0007,478539.29,8700.71,001,91018,2025-02-07,2025-02-07,False,2265,2025-03-29 13:12:39
